Hole_Id,lat,lon,elevation (m),Depth (m),no_of_litho
ES-001,10.57408333,8.99825,849,2.12,3
ES-002,10.57352778,8.996030556,845,1.67,3
ES-003,10.57266667,8.993944444,850,3,Incomplete
ES-004,10.57216667,8.991722222,850,1.5,4
ES-005,10.57416667,8.990666667,847,2.65,4
ES-006,10.57494444,8.992888889,848,2.56,4
ES-007,10.57580556,8.995027778,846,1.97,0
ES-008,10.57611111,8.997277778,846,2,1
ES-009,10.57186111,8.998611111,863,2.2,3
ES-010,10.57186111,8.996527778,859,2.3,4
ES-011,10.57097222,8.994277778,859,2,3
ES-012,10.57852778,8.996888889,845,2.6,4
ES-013,10.57680556,8.9995,836,,4
ES-014,10.57458333,8.999888889,848,1,2
ES-015,10.57547222,9.00197222,843,,4
ES-016,10.57580556,9.00416667,842,2.3,4
ES-017,10.57636111,9.00644444,842,2.6,4
ES-018,10.57852778,9.00580556,842,3,Incomplete
ES-019,10.57788889,8.99413889,844,,3
ES-020,10.57608333,8.9895,836,2.5,4
ES-021,10.57355556,8.98844444,843,2.7,3
ES-022,10.57780556,8.98802778,836,2.8,4
ES-023,10.57788889,9.00375,847,2.5,4
ES-024,10.57988889,9.00269444,843,2.6,4
ES-025,10.58052778,9.00058333,837,1,0
ES-026,10.57136111,8.989,856,3,3
ES-027,10.58819444,8.985527778,815,2.6,Incomplete
ES-028,10.58994444,8.986722222,815,2.54,4
ES-029,10.58927778,8.988888889,813,2.8,4
ES-030,10.58688889,8.988722222,827,1.2,1
ES-031,10.58475,8.988944444,820,2.6,4
ES-032,10.58238889,8.989361111,825,2.6,4
ES-033,10.59197222,8.987611111,823,2.7,4
ES-034,10.59438889,8.98725,813,2.6,4
ES-035,10.59486111,8.989638889,813,2.3,4
ES-036,10.59222222,8.988805556,818,2.65,4
ES-037,10.59261111,8.989861111,817,2.6,4
BG-001,10.61461111,8.984555556,829,2.7,0
BG-002,10.61844444,8.985138889,836,1.6,3
BG-003,10.62269444,8.984833333,828,2.7,4
